lancet_label,sex,expected_le_1950,observed_le_1950,diff_1950,expected_le_1990,observed_le_1990,diff_1990,expected_le_2000,observed_le_2000,diff_2000,expected_le_2010,observed_le_2010,diff_2010,expected_le_2021,observed_le_2021,diff_2021,sdi_value
Sweden,female,75.4869414194759,72.69932012730708,2.787621292168822,79.7581335668345,80.75578073292479,-0.9976471660902888,81.4087692570189,82.21592752607047,-0.8071582690515697,82.2009195502738,83.75428930610623,-1.5533697558324349,83.1220743794233,85.01637822500193,-1.8943038455786336,0.886880298870342
Sweden,male,69.3219441760672,70.30464978961689,-0.9827056135496832,74.0044160373531,75.01860806287915,-1.0141920255260573,76.1369159462135,77.52807048811752,-1.3911545419040152,77.1566723067758,79.8138255290114,-2.6571532222355927,78.3386866383648,81.95965087165894,-3.6209642332941314,0.886880298870342
Switzerland,female,78.6115528493146,71.08893358445825,7.52261926485636,82.356658223277,81.19997317862348,1.1566850446535142,82.9707513626629,83.13717729115535,-0.1664259284924583,83.7186510337139,85.00274196576542,-1.2840909320515266,84.4449652827042,86.39198477773935,-1.9470194950351498,0.933059110986638
Switzerland,male,72.5504177679333,66.6872742242096,5.8631435437236945,77.3568229181804,74.311028430269,3.045794487911394,78.1448257934515,77.32840659852955,0.8164191949219486,79.1016313478905,80.5182637536865,-1.416632405795994,80.0273526328475,82.51255111271772,-2.4851984798702205,0.933059110986638
UK,female,74.6849839445894,71.26928628458056,3.4156976600088456,78.453875169857,78.42145495180611,0.032420218050887684,79.9258958724552,80.06284257726769,-0.1369467048124875,80.9225798656503,82.4970809496897,-1.5745010840393974,82.2009195502738,82.38523369798204,-0.18431414770824972,0.859000181772086
UK,male,68.7004075346693,66.87041157742222,1.8299959572470783,72.3567032934546,72.89566411338657,-0.5389608199319724,74.2214668911628,75.44444163430407,-1.2229747431412648,75.5097766620838,78.53691699230315,-3.0271403302193534,77.1566723067758,78.20175969317741,-1.0450873864016046,0.859000181772086
England,female,74.6849839445894,71.8120111601469,2.87297278444251,78.453875169857,78.64388568154546,-0.19001051168845606,79.9258958724552,80.26827184477736,-0.34237597232215933,80.9225798656503,82.75656577113162,-1.8339859054813132,82.2009195502738,82.63538771812442,-0.4344681678506248,0.861437308955061
England,male,68.7004075346693,67.07243618235633,1.6279713523129686,72.3567032934546,73.14387495033456,-0.7871716568799627,74.2214668911628,75.7252141403342,-1.503747249171397,75.5097766620838,78.86008806376472,-3.3503114016809263,77.1566723067758,78.36171203928295,-1.2050397325071458,0.861437308955061
Northern Ireland,female,73.7185131922834,68.65796035269084,5.06055283959256,77.841883595519,77.22767855128099,0.6142050442380054,79.42454969997,79.59493168316331,-0.17038198319330888,80.4280765833013,81.78589592102533,-1.357819337724024,81.5690054438387,82.26721335390226,-0.6982079100635588,0.838531942404431
Northern Ireland,male,68.0018442956573,66.28990629028175,1.7119380053755577,71.6291233137131,71.41789711376748,0.21122619994561376,73.5750688462647,74.835572534745907,-1.260503688481208,74.8710852272848,77.4965066642972,-2.625421437012406,76.3434083379829,78.29251671244462,-1.94910837446173,0.838531942404431
Scotland,female,74.4138015454996,67.98053997020915,6.4332615752904445,78.453875169857,76.74927153077013,1.7046036390868693,79.9258958724552,78.56943521147592,1.3564606609792804,80.9225798656503,80.77698746154486,0.14559240410544305,82.0442883633757,80.81160588474192,1.2326824786337767,0.852061415683923
Scotland,male,68.5009530910306,65.7176137825479,2.783339308482695,72.3567032934546,71.07451257186905,1.2821907215855504,74.2214668911628,73.30683406810188,0.9146328230609271,75.5097766620838,76.29156141383669,-0.7817847517528946,76.9552576733709,76.25407750991043,0.7011801634604637,0.852061415683923
Wales,female,73.8600248306864,71.05831852183292,2.8017063088534826,77.4017895401842,78.49574581883367,-1.0939562786494719,78.93228906303,79.72333475504196,-0.7910456920119628,79.9258958724552,81.883256632878485,-1.9573607604232848,81.4087692570189,81.08079442941066,0.32797482760824437,0.834278535544851
Wales,male,68.1026032878918,66.26431034518622,1.8382929427055785,71.13583971647,72.88791609752772,-1.7520763810577193,72.9501026759086,74.98695099093075,-2.036848315022155,74.2214668911628,77.86418998101861,-3.6427230898558065,76.1369159462135,78.73097242220125,-2.594056475987742,0.834278535544851
Latin America and Caribbean,female,59.6312176929137,52.37515203433793,7.256065658575771,71.3608135890746,72.73393197446889,-1.3731183853942923,72.8349361524656,75.81552359758714,-2.980587445121543,74.27695938059,76.10793808298712,-1.8309787023971182,75.6200752848877,75.91765989270989,-0.29758460782218776,0.64654128472505
Latin America and Caribbean,male,55.7358228481299,47.949672671759345,7.786150176370555,66.2789958829882,66.70625395194072,-0.4272580689525256,67.3714654296096,69.67787441251029,-2.3064089829006917,68.4016353094166,70.7468426713741,-2.345207361957492,69.4313226958455,68.89343127801652,0.5378914178289733,0.64654128472505
Andean Latin America,female,60.6428371254562,42.50695955073342,18.135877574722777,71.3608135890746,70.56436130109876,0.7964522879758391,72.6809164009106,74.82973976291866,-2.1488233620080592,74.1391275715876,77.30010518409179,-3.1609776125041975,75.8867615917168,74.26556048598655,1.6212011057302504,0.651602455956311
Andean Latin America,male,56.7258031839004,40.44927490588921,16.27652827801119,66.2789958829882,66.58575902851027,-0.3067631455220692,67.2603173307846,71.14110563790166,-3.880788307117058,68.3022852523344,73.88802160577072,-5.585736353436317,69.6571215725685,68.33889828286992,1.3182232896985795,0.651602455956311
Bolivia,female,57.5465581966163,38.22939370588582,19.317164490730484,68.3390499889094,62.431102644133304,5.90794734477609,70.8190609217835,67.4364489867127,3.3826119350707984,72.6809164009106,71.04931840045158,1.6315980004590216,74.5497703263887,68.78752991742684,5.762240408961858,0.5990107988623
