lancet_label,val.u5mort,lower.u5mort,upper.u5mort,val.u5mortROC,lower.u5mortROC,upper.u5mortROC,val.m45q15,lower.m45q15,upper.m45q15,val.f45q15,lower.f45q15,upper.f45q15,val.lexm,lower.lexm,upper.lexm,val.lexf,lower.lexf,upper.lexf,val.lexboth,lower.lexboth,upper.lexboth,val.deaths,lower.deaths,upper.deaths,val.u5deaths,lower.u5deaths,upper.u5deaths,2020.excess_deaths,2021.excess_deaths
Southern Latin America,8.5,6.9,10.4,-3.4,-4.4,-2.4,0.14,0.14,0.14,0.08,0.08,0.08,73.8,73.5,74.1,79.9,79.6,80.1,76.8,76.6,77.1,553.1,545.2,561.5,0.7,0.7,0.8,41294.61392857956,71271.39461313662
Argentina,9.7,7.7,12.1,-3.3,-4.4,-2.3,0.15,0.14,0.15,0.08,0.08,0.09,73,72.7,73.3,79.1,78.8,79.3,76.1,75.7,76.3,378.3,371.7,385.7,0.6,0.5,0.6,29733.477959171687,43728.64404032719
Chile,5.7,4.9,6.4,-3.5,-4.1,-2.8,0.13,0.13,0.13,0.06,0.06,0.06,76.1,76,76.3,81.9,81.7,82.1,79,78.9,79.2,134.2,132.8,135.4,0.1,0.1,0.1,13839.922820998634,22140.980345346725
Uruguay,6.8,5.5,8.5,-4.2,-5.3,-3.1,0.17,0.17,0.17,0.09,0.08,0.09,72,71.6,72.4,79.4,79,79.7,75.7,75.3,76,40.5,39.7,41.4,0,0,0,-2278.7868515907608,5401.770227462716
Western Europe,3.5,3.2,3.8,-2.4,-2.7,-2,0.08,0.08,0.08,0.04,0.04,0.04,79.4,79.3,79.4,84.2,84.1,84.3,81.8,81.7,81.9,4542.5,4522.2,4564.1,1.6,1.6,1.7,431581.4711384852,290611.44710691896
Andorra,1.2,0.8,1.5,-5.7,-7.4,-4.4,0.08,0.06,0.1,0.04,0.03,0.05,80.7,77.9,83.6,85.7,83.5,87.9,83,80.5,85.6,0.6,0.5,0.8,0,0,0,17.322469040606094,80.38363100178442
Austria,3.1,2.7,3.5,-2.9,-3.5,-2.2,0.08,0.08,0.08,0.04,0.04,0.04,79.2,79.1,79.4,84.1,83.9,84.2,81.7,81.5,81.8,88.8,87.7,89.9,0,0,0,6242.901363541117,3717.5059044929335
Belgium,3.7,3,4.4,-2.3,-3.3,-1.4,0.08,0.08,0.08,0.05,0.05,0.05,79.3,79.1,79.5,84.2,84,84.4,81.8,81.6,81.9,111,109.7,112.4,0.1,0.1,0.1,17323.572838159005,1958.4628543803567
Cyprus,2.4,2,2.9,-5,-5.9,-4.1,0.07,0.06,0.08,0.04,0.03,0.04,79.2,78.2,80.1,83.2,82.5,83.9,81.2,80.4,82,9.2,8.4,10.1,0,0,0,182.78101745188835,579.2061903785464
Denmark,3.6,3.2,4.1,-2.1,-2.7,-1.4,0.07,0.07,0.07,0.04,0.04,0.05,79.5,79.3,79.7,83.5,83.3,83.7,81.5,81.3,81.7,56.7,55.8,57.7,0,0,0,277.12857939417717,2339.279209042182
