lancet_label,val.pop_22_2000,lower.pop_22_2000,upper.pop_22_2000,val.pop_22_2021,lower.pop_22_2021,upper.pop_22_2021,val.pop_39_2000,lower.pop_39_2000,upper.pop_39_2000,val.pop_39_2021,lower.pop_39_2021,upper.pop_39_2021,val.pop_200_2000,lower.pop_200_2000,upper.pop_200_2000,val.pop_200_2021,lower.pop_200_2021,upper.pop_200_2021,val.pop_154_2000,lower.pop_154_2000,upper.pop_154_2000,val.pop_154_2021,lower.pop_154_2021,upper.pop_154_2021,val.popROC,lower.popROC,upper.popROC,pop_ratio
Suriname,449.1,418.3,479.3,579.2,509.7,654.2,135.4,126.1,144.5,143.3,126.1,161.8,286.8,267.1,306.1,384.2,338.1,433.9,26.9,25,28.7,51.8,45.6,58.5,1.2,0.9,1.5,0.36
Trinidad and Tobago,1292.2,1204.4,1379.4,1393.1,1206.6,1568,331.2,308.7,353.5,272.4,236,306.6,871.4,812.2,930.3,942.6,816.4,1060.8,89.6,83.5,95.6,178.2,154.3,200.5,0.4,0,0.6,0.65
Andean Latin America,46289.1,43401.6,49181.6,66133.3,61436,70269.8,16467.8,15465.2,17476.1,18094.8,16825.8,19214.6,27434.5,25712.8,29167.5,43020.7,39970.2,45709.7,2386.8,2236.1,2540.5,5017.8,4657.5,5339.8,1.7,1.6,1.8,0.28
Bolivia,8288.9,7669.9,8906.2,11797.1,10327.1,13298,3230.7,2989.5,3471.3,3486.5,3052.1,3930.1,4685.1,4335.1,5033.9,7560.8,6618.6,8522.7,373.1,345.3,400.9,749.9,656.4,845.3,1.7,1.4,1.9,0.22
Ecuador,12542.2,11597.4,13510.3,18065.4,15504.9,20500.2,4549.5,4206.8,4900.7,5070.9,4352.2,5754.3,7364.6,6809.8,7933,11574.5,9934,13134.5,628.1,580.8,676.6,1420,1218.7,1611.4,1.7,1.4,2,0.28
Peru,25458,22915.8,28196.6,36270.8,32891.4,39697.1,8687.6,7820,9622.1,9537.4,8648.8,10438.4,15384.9,13848.5,17039.8,23885.4,21660,26141.8,1385.6,1247.2,1534.7,2847.9,2582.6,3117,1.7,1.6,1.7,0.3
Central Latin America,199003.5,191387.7,207839.1,253001.9,242163.4,264759.5,69987.8,67392.1,72992.2,63485,60803.4,66387.4,119487.1,114845.4,124860.2,168292.9,161002.1,176203.4,9528.6,9153.2,9954.6,21224,20301.3,22242.2,1.1,1.1,1.2,0.33
Colombia,39733,35666.1,43745.6,49060.4,44536.6,53498,13143.2,11797.9,14470.5,10613,9634.4,11573,24457.8,21954.4,26927.7,33609.6,30510.5,36649.6,2132,1913.8,2347.4,4837.8,4391.7,5275.4,1,1,1.1,0.46
Costa Rica,3903.7,3636.8,4159.5,4747.9,4175,5342.8,1254,1168.2,1336.1,1017.3,894.5,1144.8,2435.3,2268.8,2594.9,3249.8,2857.7,3657,214.4,199.8,228.5,480.8,422.8,541,0.9,0.7,1.2,0.47
El Salvador,5862.1,5240.4,6548.7,6450.2,5430.4,7375,2244.4,2006.4,2507.3,1818.8,1531.2,2079.6,3281.5,2933.5,3665.9,4074.4,3430.2,4658.6,336.2,300.6,375.6,557,468.9,636.9,0.4,0.2,0.6,0.31
Guatemala,11077.4,10238.3,11975,15767.4,14359.9,17143.3,5012.4,4632.7,5418.6,4934,4493.6,5364.6,5676.5,5246.5,6136.5,9913.4,9028.5,10778.5,388.5,359.1,420,919.9,837.8,1000.2,1.7,1.6,1.7,0.19
Honduras,6166.6,5715.6,6660.8,10110.2,8912.4,11286.3,2632.7,2440.2,2843.7,3277.2,2888.9,3658.4,3307.4,3065.5,3572.5,6325.1,5575.8,7061,226.4,209.8,244.5,507.9,447.7,566.9,2.3,2.1,2.5,0.15
Mexico,101154.1,94416.1,108312.4,129276,119311.5,139133.2,34945.8,32618,37418.7,32066.9,29595.2,34512,61434.5,57342.2,65782,86646.8,79968.1,93253.5,4773.9,4455.9,5111.7,10562.3,9748.2,11367.7,1.2,1.1,1.2,0.33
Nicaragua,4927.2,4460.1,5402.6,6669,5591.4,7774.8,2006.4,1816.2,2199.9,1980.4,1660.4,2308.8,2736,2476.6,3000,4297.8,3603.4,5010.5,184.8,167.3,202.7,390.7,327.6,455.5,1.4,1.1,1.7,0.2
Panama,2912.1,2727.7,3120.7,4292,3695.5,4867.1,927.1,868.4,993.5,1153.4,993.1,1307.9,1810.3,1695.7,1939.9,2749.5,2367.4,3117.9,174.7,163.6,187.2,389.1,335.1,441.3,1.8,1.4,2.1,0.34
Venezuela,23267.3,21634.7,25050.8,26628.8,22960.5,30072.9,7821.9,7273.1,8421.5,6623.9,5711.4,7480.6,14347.8,13341,15447.6,17426.5,15025.8,19680.3,1097.6,1020.6,1181.7,2578.5,2223.3,2911.9,0.6,0.3,0.9,0.39
Tropical Latin America,179827.5,167645.7,192129.9,227524.9,196124,258236.4,53935.1,50327.4,57608.4,50193,43326.5,56939.5,115593.7,107722.2,123516.5,155085.9,133667.2,176033.4,10298.6,9596.7,11004.9,22245.9,19119,25263.4,1.1,0.7,1.4,0.44
Brazil,174681.2,162292.1,186997.5,220356,188144.9,250951.7,51972.6,48286.4,55637,48185.3,41141.7,54875.7,112660.9,104670.5,120604.3,150405.8,128419.9,171289.2,10047.8,9335.2,10756.3,21764.9,18583.3,24786.9,1.1,0.7,1.4,0.45
Paraguay,5146.2,4727.5,5584.3,7168.8,5861.3,8461.2,1962.5,1802.9,2129.6,2007.7,1641.5,2369.7,2932.9,2694.2,3182.6,4680.1,3826.5,5523.8,250.8,230.4,272.2,481,393.3,567.8,1.6,1,2,0.24
North Africa and Middle East,420540.5,406950.7,434269,623000.1,599577.9,646199.5,151844.7,147085.3,156557.4,183322,175264.9,191214.1,251255.5,242782.2,259657.8,405515.3,390471,420427.5,17440.3,16783.6,18055.8,34162.8,32920.5,35432.6,1.9,1.8,2,0.19
Algeria,31021.2,28642.2,33456.4,44198,37361.4,50960.9,10710.1,9888.8,11550.9,13301.7,11244.2,15337,18947.1,17494,20434.4,28054.4,23715,32347.1,1364,1259.4,1471.1,2841.8,2402.3,3276.7,1.7,1.3,2,0.21
Bahrain,646.1,602,694.9,1529.6,1421.4,1647,186,173.3,200.1,296.7,275.7,319.5,445,414.6,478.6,1178.4,1095,1268.9,15.1,14.1,16.2,54.5,50.7,58.7,4.1,4.1,4.1,0.18
Egypt,67263.7,61466.1,72972.4,105627.4,95744.6,115666.2,23839.5,21784.8,25862.8,36855.2,33406.9,40357.9,41132.6,37587.4,44623.6,64397.1,58371.9,70517.4,2291.5,2094,2486,4375.1,3965.8,4790.9,2.1,2.1,2.2,0.12
Iran,66248.4,60446.3,72235.8,85355.9,76864.4,93931.2,21863.6,19948.8,23839.6,20179.4,18171.9,22206.7,41347.3,37726,45084.2,59167.5,53281.3,65111.8,3037.5,2771.5,3312,6008.9,5411.2,6612.6,1.2,1.1,1.3,0.3
Iraq,25132.9,21590.4,29076.7,41224.3,29162.7,52061.1,10235.9,8793.1,11842.1,13461.9,9523.2,17000.7,14135.6,12143.1,16353.7,26081.4,18450.4,32937.5,761.5,654.1,880.9,1681,1189.2,2122.9,2.3,1.4,2.8,0.12
Jordan,4819,4385,5267.5,12324.6,11066.3,13681.4,1904.9,1733.3,2082.2,3633,3262.1,4033,2779.9,2529.6,3038.7,8180,7344.9,9080.5,134.2,122.1,146.7,511.5,459.3,567.8,4.5,4.4,4.5,0.14
Kuwait,1916.1,1720.4,2107.8,4650.1,4033.3,5276.7,530,475.9,583,845.5,733.3,959.4,1319,1184.3,1451,3633.7,3151.7,4123.4,67.1,60.2,73.8,170.9,148.2,193.9,4.2,4.1,4.4,0.2
